ipod,ipad
爸,妈
白菜,生菜
百度,谷歌
百合花,满天星
百事可乐,可口可乐
班主任,辅导员
包青天,狄仁杰
包子,饺子
保安,保镖
保姆,奶妈
鼻子,嘴巴
壁纸,贴画
扁肉,混沌
菠萝,榴莲
抄手,饺子
朝鲜拌面,意大利面
成吉思汗,努尔哈赤
橙子,橘子
丑小鸭,灰姑娘
出租车,公交车
纯净水,矿泉水
唇膏,口红
大白兔,金丝猴
大米,米饭
德克士,肯德基
电灯,灯笼
电动车,摩托车
爹,娘
东方不败,天山童姥
董永,许仙
端午节,中秋节
短信,彩信
耳机,喇叭
二逼青年,屌丝男士
反弹琵琶,乱弹棉花
飞信,微信
服务员,店小二
福尔摩斯,工藤新一
富二代,高富帅
港币,美元
高跟鞋,增高鞋
公交,地铁
光头,尼姑
贵妃醉酒,黛玉葬花
郭德纲,周立波
果粒橙,鲜橙多
过山车,碰碰车
还珠格格,步步惊心
海豚,海狮
汉堡包,肉夹馍
杭州,苏州
何炅,维嘉
红灯笼,中国结
红烧牛肉面,香辣牛肉面
猴,猿
胡子,眉毛
蝴蝶,蜜蜂
皇帝,国王
婚纱,喜服
火车,地铁
火车,轮船
吉他,琵琶
计算机,计算器
奖牌,金牌
降龙十八掌,九阴白骨爪
饺子,包子
节节高升,票房大卖
结婚,订婚
金庸,古龙
近视眼镜,隐形眼镜
京东,凡客
警察,捕快
镜子,玻璃
烤肉,涮肉
柯南道尔,福尔摩斯
肯德基,麦当劳
口香糖,木糖醇
筷子,竹签
辣椒,芥末
蓝精灵,史迪仔
老佛爷,老天爷
连衣裙,背带裤
梁山伯与祝英台,罗密欧与朱丽叶
刘诗诗,刘亦菲
流星花园,花样男子
裸婚,闪婚
麻婆豆腐,皮蛋豆腐
麻雀,乌鸦
马,驴
麦克风,扩音器
馒头,花卷
毛笔,钢笔
玫瑰,牡丹
玫瑰,月季
眉毛,胡须
眉毛,睫毛
美人无泪,倾世皇妃
美人心计,美人天下
美人心计,倾世皇妃
蒙牛,伊利
孟飞,乐嘉
孟非,乐嘉
面包,蛋糕
摩托车,电动车
魔术师,魔法师
沐浴露,沐浴盐
那英,韩红
那英,王菲
奶奶,外婆
男朋友,前男友
牛,羊
牛奶,豆浆
牛肉干,猪肉脯
胖子,肥肉
泡泡糖,棒棒糖
泡泡糖,棉花糖
皮球,气球
票房大卖,节节高升
葡萄,提子
气泡,水泡
铅笔带,铅笔盒
情人节,光棍节
秋裤,毛裤
认错,犯错
肉包子,素包子
若曦,晴川
三角饼,豆沙饼
散文,小说
扫帚,拖把
森马,以纯
勺子,叉子
神雕侠侣,天龙八部
生活费,零花钱
剩女,御姐
十面埋伏,四面楚歌
手,脚
手机,座机
首尔,东京
书,本
叔叔,舅舅
鼠目寸光,井底之蛙
树枝,树干
甩干机,干洗机
双胞胎,龙凤胎
水盆,水桶
酸菜鱼,水煮鱼
酸奶,牛奶
太监,人妖
天天向上,非诚勿扰
铁观音,碧螺春
同学,同桌
童话,神话
图书馆,图书店
土豆粉,酸辣粉
袜子,鞋垫
王菲,那英
王老吉,加多宝
王昭君,杨玉环
微博,围巾
微软,苹果
韦小宝,唐伯虎
无聊,发呆
吸血鬼,蝙蝠侠
洗发露,护发素
洗衣粉,皂角粉
夏家三千金,爱情睡醒了
香港,广东
香港,深圳
香港,台湾
象棋,跳棋
销售,客服
小矮人,葫芦娃
小攻,小受
小笼包,灌汤包
小米,玉米
小品,话剧
小沈阳,宋小宝
谢娜,李湘
谢娜张杰,邓超孙俪
新年,跨年
雪碧,七喜
薰衣草,满天星
鸭蛋,鸡蛋
鸭舌帽,遮阳帽
雅虎,谷歌
眼泪,鼻涕
爷爷,外公
业务4部,业务5部
医院,诊所
英雄联盟,魔兽世界
雍正,乾隆
勇往直前,全力以赴
优乐美,香飘飘
油条,麻花
鱼香肉丝,四喜丸子
语无伦次,词不达意
玉米,高粱
浴缸,鱼缸
元芳,展昭
增高垫,增高鞋
张国立,张铁林
张韶涵,王心凌
张艺谋,陈凯歌
赵敏,黄蓉
照相机,摄像机
甄嬛传,红楼梦
甄子丹,李连杰
枕头,抱枕
蜘蛛精,蜘蛛侠
蜘蛛侠,蝙蝠侠
纸巾,手帕
中秋节,元宵节
中学,大学
状元,冠军
自行车,电动车
自行车,摩托车
自行车,三轮车
作家,编剧
作文,论文
